,precision,recall,f1-score,support,,,,
absence,0.6334576452,0.5815602837,0.606400612,4089,,60.6400612011,63.3457645178,58.1560283688
cooking,0.7821878025,0.7615457116,0.7717287488,1061,,77.1728748806,78.2187802517,76.1545711593
dishwashing,0.3566433566,0.2506142506,0.2943722944,407,,29.4372294372,35.6643356643,25.0614250614
eating,0.25,0.2368421053,0.2432432432,494,,24.3243243243,25,23.6842105263
other,0.2658823529,0.2684085511,0.2671394799,421,,26.7139479905,26.5882352941,26.8408551069
social_activity,0.7676348548,0.8096280088,0.7880724175,914,,78.8072417465,76.7634854772,80.9628008753
vacuum_cleaner,1,0.9901477833,0.995049505,203,,99.504950495,100,99.0147783251
watching_tv,0.9782316582,0.9967141292,0.9873864099,3652,,98.7386409874,97.8231658156,99.6714129244
working,0.5105473965,0.5697258641,0.538515702,3356,,53.8515702014,51.0547396529,56.9725864124
accuracy,0.6858258546,0.6858258546,0.6858258546,0.6858258546,,,,
macro avg,0.6160650074,0.6072429653,0.6102120458,14597,,,,
weighted avg,0.6844705914,0.6858258546,0.684133782,14597,,,,
